Model,TN,FP,FN,TP,p,AUC,Precision,Recall,F1,LinearTrans,Algorithm,Actual N,Actual P,Precision,Recall,F1,AUC
KBFC_Hard_Tomek_1_alpha_target_gamma_5_0_v1_Linear_Transform,143399,7372,19041,7580,0.541670735,0.774462671,0.506955588,0.284737613,0.364670542,1,KBFC,143399 & 7372,19041 & 7580,0.507 & Precision \cr,0.285 & Recall \cr,0.365 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_5_0_v2_Linear_Transform,142718,8053,18990,7631,0.54594068,0.773673493,0.486546796,0.286653394,0.360771807,1,KBFC,142718 & 8053,18990 & 7631,0.487 & Precision \cr,0.287 & Recall \cr,0.361 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_5_0_v2_Linear_Transform,142954,7817,19051,7570,0.548885443,0.773123702,0.491973741,0.28436197,0.360418256,1,KBFC,142954 & 7817,19051 & 7570,0.492 & Precision \cr,0.284 & Recall \cr,0.36 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_5_0_v2_Linear_Transform,143394,7377,19171,7450,0.544747226,0.772715722,0.502461722,0.27985425,0.359497394,1,KBFC,143394 & 7377,19171 & 7450,0.502 & Precision \cr,0.28 & Recall \cr,0.359 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_5_0_v1_Linear_Transform,143657,7114,19351,7270,0.54300311,0.773114673,0.505422688,0.273092671,0.354601793,1,KBFC,143657 & 7114,19351 & 7270,0.505 & Precision \cr,0.273 & Recall \cr,0.355 & F1 \cr,0.773 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_0_0_v2_Linear_Transform,143580,7191,21172,5449,0.686571724,0.716233707,0.431091769,0.204688028,0.277589526,1,KBFC,143580 & 7191,21172 & 5449,0.431 & Precision \cr,0.205 & Recall \cr,0.278 & F1 \cr,0.716 & AUC \cr
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v2_Linear_Transform,143768,7003,21314,5307,0.526355762,0.715137871,0.431112913,0.199353894,0.272647553,1,KBFC,143768 & 7003,21314 & 5307,0.431 & Precision \cr,0.199 & Recall \cr,0.273 & F1 \cr,0.715 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_0_5_v2_Linear_Transform,143909,6862,21337,5284,0.639839477,0.715824351,0.435040339,0.198489914,0.27261438,1,KBFC,143909 & 6862,21337 & 5284,0.435 & Precision \cr,0.198 & Recall \cr,0.273 & F1 \cr,0.716 & AUC \cr
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v2_Linear_Transform,143630,7141,21358,5263,0.862751619,0.715171905,0.42429861,0.197701063,0.269735862,1,KBFC,143630 & 7141,21358 & 5263,0.424 & Precision \cr,0.198 & Recall \cr,0.27 & F1 \cr,0.715 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_1_0_v2_Linear_Transform,144119,6652,21486,5135,0.617946424,0.71580082,0.435649441,0.192892829,0.267403701,1,KBFC,144119 & 6652,21486 & 5135,0.436 & Precision \cr,0.193 & Recall \cr,0.267 & F1 \cr,0.716 & AUC \cr
